parcel_id,tax_district,land_use,sale_year,actual,predicted,residual,residual_z
083 01 0 101.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,419941.2769210898,331440.6708822938,88500.60603879602,1.1935593067241943
107 14 0 083.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,88326.95296387188,129622.66768946874,-41295.71472559686,-0.5512015218046031
082 03 0 357.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,130000.0,156220.1381989018,-26220.138198901812,-0.3485511289709603
119 04 0 041.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,177624.5317844896,181343.04640417616,-3718.5146196865535,-0.04607759838006118
064 04 0 104.00,GENERAL SERVICES DISTRICT,ZERO LOT LINE,2015,145464.82319833597,103154.47367114139,42310.34952719459,0.5726561120378934
133 16 0 059.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,139733.26405785346,129557.12728062262,10176.136777230844,0.14069844689328811
102 08 0 036.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,332210.20433133485,325901.92907040776,6308.275260927097,0.08870549960419905
092 13 0 339.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,82659.11394971613,263146.0495110405,-180486.93556132435,-2.4222513971713435
033 12 0 152.00,GENERAL SERVICES DISTRICT,DUPLEX,2013,160000.0,136080.06163055933,23919.93836944067,0.32544672413211245
051 04 0 119.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2015,88360.05138871894,114987.4324647923,-26627.38107607336,-0.3540254091015663
147 16 0 020.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,135887.6199444183,233375.3123622798,-97487.69241786152,-1.306550833538894
081 08 0 341.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,294762.8410620335,314006.11519031797,-19243.27412828448,-0.2547660427320404
044 15 0 422.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2016,610523.6638931364,409072.00069826056,201451.66319487587,2.711881081226361
083 14 0 289.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,386759.51303071086,437641.315495386,-50881.80246467516,-0.6800605702543979
086 13 0 020.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2014,190411.1732055961,120695.01493961098,69716.15826598513,0.9410531611991781
042 04 0 015.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2014,140618.89742160044,138462.1229477099,2156.774473890546,0.0328997887013756
105 07 0 134.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,115000.0,176476.2441358655,-61476.244135865505,-0.8224742127919221
118 13 0 183.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,323000.0,369648.23182104266,-46648.23182104266,-0.6231516518789104
081 11 0 355.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,44281.66818734793,77879.02910379993,-33597.360916451995,-0.4477179554658247
156 05 0 019.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2015,179865.2881438884,179569.87508950027,295.4130543881329,0.00787881373570082
150 06 0 177.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,190903.19174101108,222341.68054972365,-31438.488808712573,-0.4186977531580528
147 14 0 047.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,185762.51070598312,196472.78409628614,-10710.273390303017,-0.14006290361562232
091 07 0 355.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,278054.0438027652,253195.36781226768,24858.67599049752,0.33806551501802184
150 01 0 039.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,132589.22060442923,138775.96416327826,-6186.743558849033,-0.07925626741729079
102 03 0 055.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,217705.79958399606,182378.3689525861,35327.43063140995,0.47878963503447963
091 05 0 184.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,127674.8684693503,112185.66007459536,15489.20839475494,0.21211833909694475
148 15 0 028.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,162094.5180765561,158655.75156875106,3438.766507805034,0.05013270770930465
059 12 0 064.00,URBAN SERVICES DISTRICT,DUPLEX,2013,28500.0,95114.14539121612,-66614.14539121612,-0.8915394127790386
075 04 0 211.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2016,135887.6199444183,178804.35503493762,-42916.73509051933,-0.5729917606827769
148 08 0 004.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,122858.80337697295,133494.59550399985,-10635.7921270269,-0.13906170427608636
102 04 0 207.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,130000.0,191107.09295858032,-61107.092958580324,-0.8175119726441323
172 08 0 051.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,275203.7195644194,287843.61442339094,-12639.89485897153,-0.16600145050658033
051 07 0 039.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2016,152873.57243747058,242834.76799199113,-89961.19555452056,-1.2053774194862774
133 08 0 148.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,281481.498456295,184381.71075834983,97099.78769794517,1.3091520695076724
117 16 0 098.00,URBAN SERVICES DISTRICT,DUPLEX,2016,485312.92837292247,345759.80361682456,139553.1247560979,1.8798224791400755
072 08 0 028.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,467841.66295149724,340925.3314931831,126916.33145831415,1.709954937330394
082 05 0 041.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,335000.0,247416.28354379087,87583.71645620913,1.181234203683041
053 08 0 060.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2015,67031.76312247645,110696.65260620673,-43664.88948373028,-0.5830486750180891
094 01 0 208.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,25000.0,109471.93387693491,-84471.93387693491,-1.1315891279831556
082 07 0 447.00,URBAN SERVICES DISTRICT,ZERO LOT LINE,2014,119068.48557042444,90458.51009464607,28609.975475778367,0.38849160074566746
061 14 0 184.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,262737.89791159774,245450.2894640674,17287.608447530336,0.2362929686059148
174 11 0 006.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2013,249900.0,254043.1066707521,-4143.1066707521095,-0.0517850912769408
120 09 0 126.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,159734.80155954312,146216.0466394039,13518.75492013921,0.18563091621237307
116 09 0 084.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,315992.8422855744,364196.3645730686,-48203.52228749421,-0.6440583298715379
050 07 0 026.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2013,27500.0,121394.67864020211,-93894.67864020211,-1.2582524714689565
147 01 0 078.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,211567.97022844013,199411.12961614004,12156.84061230009,0.16732365817811853
083 09 0 032.00,URBAN SERVICES DISTRICT,TRIPLEX,2013,225000.0,458356.0279886336,-233356.0279886336,-3.132933494813228
094 05 0 011.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,441308.8217300869,334300.6215180619,107008.20021202497,1.4423439036495038
071 04 0 094.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,66343.75382356539,139907.9878317154,-73564.23400815002,-0.9849645753893238
147 08 0 132.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,95500.0,141875.26245301563,-46375.26245301563,-0.619482316277431
051 12 0 085.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2015,396416.21497614094,118814.87532868388,277601.33964745706,3.7355077279383213
095 07 0 145.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,173644.96577183166,174122.59213077472,-477.62635894306004,-0.0025126124568600754
120 14 0 185.00,URBAN SERVICES DISTRICT,DUPLEX,2014,142685.37527034333,141296.90247986594,1388.47279047739,0.022572048486417612
119 01 0 477.00,URBAN SERVICES DISTRICT,DUPLEX,2016,223243.94705154432,213676.30878182017,9567.63826972415,0.13251882859699532
082 08 0 369.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,132845.0045620438,261466.67024286865,-128621.66568082487,-1.7250629813854097
094 01 0 194.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,10000.0,158552.81435647752,-148552.81435647752,-1.9929834222119747
083 14 0 172.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,182046.8581035415,203837.017231274,-21790.159127732477,-0.28900202997447305
071 11 0 127.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,157259.26832252537,123999.48572381625,33259.78259870912,0.4509956939320235
130 05 0 069.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,548441.6982748073,429243.75954673527,119197.93872807204,1.606202001841777
018 08 0 025.00,CITY OF GOODLETTSVILLE,SINGLE FAMILY,2015,201488.43753823565,253269.39522868182,-51780.95769044617,-0.692147282785641
072 08 0 123.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,155000.0,163424.48551769997,-8424.48551769997,-0.10933666177026763
081 14 0 089.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,41329.55697485807,76952.63833353286,-35623.08135867479,-0.4749482934008732
128 14 0 030.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2016,213537.68848408587,203676.1422730631,9861.546211022767,0.1364696267409751
147 01 0 181.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,209599.8960867802,214020.14414532913,-4420.248058548925,-0.05551050841160464
073 07 0 256.00,URBAN SERVICES DISTRICT,ZERO LOT LINE,2014,71736.30246350366,89569.21332790537,-17832.91086440171,-0.23580751939080144
034 04 0 033.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2015,167087.97259268322,188181.85752313415,-21093.884930450935,-0.27964250469534485
119 15 0 017.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,160153.2663630644,155480.43284841353,4672.833514650876,0.06672140421968431
083 09 0 372.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,333000.0,362612.1145620744,-29612.11456207442,-0.39414708619768224
063 00 0 254.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2014,399519.05075696134,421344.1270382026,-21825.076281241258,-0.2894713967587322
117 03 0 151.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,320500.0,282931.50172006513,37568.498279934865,0.5089147342992508
060 07 0 048.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,119910.19209592561,149584.79479024195,-29674.602694316345,-0.39498707029539437
081 15 0 280.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,58943.820542714246,91083.60137530317,-32139.780832588927,-0.4281247295577938
130 05 0 127.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,552286.1124883858,473703.8117108347,78582.30077755108,1.0602344913265103
083 06 0 184.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,261443.53358619843,211810.39569587298,49633.13789032545,0.6710912157169049
071 07 0 045.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,73715.28202618378,113887.7567998323,-40172.47477364853,-0.5361025955973232
051 00 0 050.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2014,73802.78031224656,108017.69569844904,-34214.91538620248,-0.45601930670565977
071 08 0 368.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,66422.5022810219,119674.01295185777,-53251.51067083588,-0.7119148942352569
