parcel_id,sale_date,sale_year,sale_price,land_use,tax_district,sold_as_vacant,price_outlier_flag,sale_price_real
117 07 0G 004.00,2013-01-18,2013,450000.0,SINGLE FAMILY,,N,CLEAN,450000.0
117 07 0M 014.00,2013-01-14,2013,170500.0,RESIDENTIAL CONDO,,N,CLEAN,170500.0
117 10 0 015.00,2013-01-10,2013,1435000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,STATISTICAL_OUTLIER,1435000.0
117 12 0 114.00,2013-01-31,2013,330000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,330000.0
117 15 0A 117.00,2013-01-14,2013,145000.0,RESIDENTIAL CONDO,,N,CLEAN,145000.0
117 15 0G 008.00,2013-01-15,2013,702776.0,RESIDENTIAL CONDO,,N,CLEAN,702776.0
118 01 0 116.00,2013-01-18,2013,718000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,718000.0
118 01 0 382.00,2013-01-14,2013,585157.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,585157.0
118 02 0 272.00,2013-01-14,2013,228000.0,SINGLE FAMILY,,N,CLEAN,228000.0
118 13 0 183.00,2013-01-28,2013,323000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,323000.0
128 03 0A 004.00,2013-01-14,2013,205000.0,SINGLE FAMILY,,N,CLEAN,205000.0
128 10 0 034.00,2013-01-24,2013,150000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,150000.0
128 10 0 181.00,2013-01-18,2013,132000.0,DUPLEX,GENERAL SERVICES DISTRICT,N,CLEAN,132000.0
128 12 0A 069.00,2013-01-24,2013,185000.0,RESIDENTIAL CONDO,,N,CLEAN,185000.0
128 12 0C 049.00,2013-01-04,2013,194000.0,VACANT RES LAND,,N,CLEAN,194000.0
128 13 0A 158.00,2013-01-23,2013,62500.0,RESIDENTIAL CONDO,,N,CLEAN,62500.0
128 13 0A 214.00,2013-01-18,2013,129000.0,RESIDENTIAL CONDO,,N,CLEAN,129000.0
129 11 0 026.00,2013-01-25,2013,268000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,268000.0
129 11 0A 435.00,2013-01-28,2013,109000.0,ZERO LOT LINE,,N,CLEAN,109000.0
129 11 0A 703.00,2013-01-25,2013,174000.0,ZERO LOT LINE,,N,CLEAN,174000.0
129 15 0 042.00,2013-01-07,2013,224000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,224000.0
130 05 0 010.00,2013-01-15,2013,300000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,300000.0
130 08 0 037.00,2013-01-18,2013,975000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,STATISTICAL_OUTLIER,975000.0
130 08 0E 009.00,2013-01-22,2013,535900.0,SINGLE FAMILY,,N,CLEAN,535900.0
130 09 0 129.00,2013-01-22,2013,710000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,710000.0
130 10 0 096.00,2013-01-15,2013,616224.0,SINGLE FAMILY,CITY OF BELLE MEADE,N,CLEAN,616224.0
130 12 0A 019.00,2013-01-22,2013,975000.0,SINGLE FAMILY,,N,STATISTICAL_OUTLIER,975000.0
130 13 0C 001.00,2013-01-23,2013,300000.0,VACANT RES LAND,,N,CLEAN,300000.0
131 02 0H 211.00,2013-01-18,2013,290000.0,RESIDENTIAL CONDO,,N,CLEAN,290000.0
131 03 0C 192.00,2013-01-19,2013,335000.0,RESIDENTIAL CONDO,,N,CLEAN,335000.0
131 03 0G 003.00,2013-01-14,2013,255000.0,RESIDENTIAL CONDO,,N,CLEAN,255000.0
