parcel_id,property_address,property_city,sale_date,sale_year,sale_price,sale_price_real,land_use,tax_district,sold_as_vacant,price_outlier_flag,latitude,longitude,tract_fips,median_hh_income,total_population,poverty_rate,vacancy_rate,income_quintile
180 04 0B 151.00,3149  BROOKVIEW FOREST DR,NASHVILLE,2013-01-25,2013,320000.0,320000.0,SINGLE FAMILY,,N,CLEAN,36.01853007903,-86.710526421763,47037019115,104107.0,4073.0,0.04344587884806356,0.006944444444444444,Q5 (Highest)
182 06 0A 071.00,7113  LEGACY DR,ANTIOCH,2013-01-03,2013,154000.0,154000.0,SINGLE FAMILY,,N,CLEAN,36.007673605917,-86.65292368573,47037019117,67953.0,4453.0,0.11586331749264539,0.03450439146800502,Q5 (Highest)
182 06 0A 278.00,8505  LAWSON DR,ANTIOCH,2013-01-04,2013,157000.0,157000.0,SINGLE FAMILY,,N,CLEAN,36.008617454407,-86.648453896634,47037019117,67953.0,4453.0,0.11586331749264539,0.03450439146800502,Q5 (Highest)
182 06 0A 278.00,8505  LAWSON DR,ANTIOCH,2013-01-04,2013,157000.0,157000.0,SINGLE FAMILY,,N,CLEAN,36.008617454407,-86.648453896634,47037019117,67953.0,4453.0,0.11586331749264539,0.03450439146800502,Q5 (Highest)
182 06 0A 351.00,8461  LAWSON DR,ANTIOCH,2013-01-24,2013,139000.0,139000.0,SINGLE FAMILY,,N,CLEAN,36.008276822388,-86.646805909673,47037019117,67953.0,4453.0,0.11586331749264539,0.03450439146800502,Q5 (Highest)
182 12 0A 131.00,7229  SMOKEY HILL RD,ANTIOCH,2013-01-09,2013,190000.0,190000.0,SINGLE FAMILY,,N,CLEAN,36.005584116766,-86.631384431222,47037019117,67953.0,4453.0,0.11586331749264539,0.03450439146800502,Q5 (Highest)
182 12 0A 131.00,7229  SMOKEY HILL RD,ANTIOCH,2013-01-09,2013,190000.0,190000.0,SINGLE FAMILY,,N,CLEAN,36.005584116766,-86.631384431222,47037019117,67953.0,4453.0,0.11586331749264539,0.03450439146800502,Q5 (Highest)
182 12 0A 145.00,7405  GOLDEN APPLE DR,ANTIOCH,2013-01-04,2013,50000.0,50000.0,VACANT RES LAND,,N,CLEAN,36.006299094656,-86.631066288937,47037019117,67953.0,4453.0,0.11586331749264539,0.03450439146800502,Q5 (Highest)
182 12 0A 148.00,7204  SMOKEY HILL RD,ANTIOCH,2013-01-04,2013,50000.0,50000.0,VACANT RES LAND,,N,CLEAN,36.006270314579,-86.631500674357,47037019117,67953.0,4453.0,0.11586331749264539,0.03450439146800502,Q5 (Highest)
091 13 0 269.00,408  EASTBORO DR,NASHVILLE,2013-01-24,2013,131350.0,131350.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.148365820635,-86.86736951681,47037018101,39700.0,5650.0,0.2513041914013312,0.060641627543035995,Q2
091 15 0 102.00,5202  PARK AVE,NASHVILLE,2013-01-14,2013,285000.0,285000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.150937578653,-86.849936982244,47037013400,102700.0,4353.0,0.04893177119228118,0.03992484734617191,Q5 (Highest)
091 16 0 256.00,4306  DAKOTA AVE,NASHVILLE,2013-01-11,2013,450000.0,450000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,36.147798270511,-86.838281253795,47037013400,102700.0,4353.0,0.04893177119228118,0.03992484734617191,Q5 (Highest)
092 06 0 440.00,804  LENA ST,NASHVILLE,2013-01-15,2013,16000.0,16000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,36.160491215763,-86.817861642984,47037014300,30313.0,1886.0,0.24708377518557795,0.22977022977022976,Q1 (Lowest)
092 06 0 622.00,729  25TH AVE N,NASHVILLE,2013-01-16,2013,17000.0,17000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,36.160280721536,-86.814103052924,47037014300,30313.0,1886.0,0.24708377518557795,0.22977022977022976,Q1 (Lowest)
092 06 0 657.01,732  25TH AVE N,NASHVILLE,2013-01-16,2013,17000.0,17000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,36.159969078837,-86.813873039871,47037014300,30313.0,1886.0,0.24708377518557795,0.22977022977022976,Q1 (Lowest)
092 07 0 199.00,2320  BATAVIA ST,NASHVILLE,2013-01-15,2013,27000.0,27000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,36.161201892113,-86.811179696599,47037014300,30313.0,1886.0,0.24708377518557795,0.22977022977022976,Q1 (Lowest)
092 07 0 425.00,2318  BATAVIA ST,NASHVILLE,2013-01-15,2013,27000.0,27000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,36.161204319156,-86.811159673485,47037014300,30313.0,1886.0,0.24708377518557795,0.22977022977022976,Q1 (Lowest)
092 09 0 215.00,410  37TH AVE N,NASHVILLE,2013-01-23,2013,63500.0,63500.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,36.153443282587,-86.828791826945,47037013500,45625.0,2087.0,0.2223823246878002,0.12453874538745388,Q3
092 10 0 129.00,2822  GEORGIA AVE,NASHVILLE,2013-01-15,2013,16000.0,16000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,36.157218141467,-86.820795503461,47037014300,30313.0,1886.0,0.24708377518557795,0.22977022977022976,Q1 (Lowest)
092 13 0 272.00,333  CHAMBERLIN ST,NASHVILLE,2013-01-24,2013,130000.0,130000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.149556364546,-86.829561319948,47037013500,45625.0,2087.0,0.2223823246878002,0.12453874538745388,Q3
092 16 0B 021.00,900  19TH AVE S,NASHVILLE,2013-01-25,2013,118000.0,118000.0,RESIDENTIAL CONDO,,N,CLEAN,36.148682067225,-86.795941009913,47037016400,30929.0,4155.0,0.27255154639175255,0.149800796812749,Q1 (Lowest)
092 16 0E 054.00,900  20TH AVE S,NASHVILLE,2013-01-07,2013,900000.0,900000.0,RESIDENTIAL CONDO,,N,CLEAN,36.148555360441,-86.797876501001,47037016400,30929.0,4155.0,0.27255154639175255,0.149800796812749,Q1 (Lowest)
102 07 0A 019.00,6680  CHARLOTTE PIKE,NASHVILLE,2013-01-17,2013,49500.0,49500.0,RESIDENTIAL CONDO,,N,CLEAN,36.136495437199,-86.884118546682,47037018201,96696.0,3069.0,0.020853698273053112,0.06754772393538913,Q5 (Highest)
103 03 0 023.00,5514  BON AIR CIR,NASHVILLE,2013-01-16,2013,194000.0,194000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.142169072706,-86.852812544724,47037018101,39700.0,5650.0,0.2513041914013312,0.060641627543035995,Q2
103 03 0 126.00,4902  IDAHO AVE,NASHVILLE,2013-01-09,2013,207500.0,207500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.146525465311,-86.845777233861,47037013400,102700.0,4353.0,0.04893177119228118,0.03992484734617191,Q5 (Highest)
103 08 0 206.00,4208  ABERDEEN RD,NASHVILLE,2013-01-18,2013,295000.0,295000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.13663876393,-86.839877683791,47037016700,94331.0,5106.0,0.0629970699037254,0.11131656804733728,Q5 (Highest)
103 10 0 089.00,815  NEARTOP DR,NASHVILLE,2013-01-23,2013,260000.0,260000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.133059588451,-86.859459027887,47037018102,73125.0,3719.0,0.056322772813430816,0.015524625267665952,Q5 (Highest)
103 14 0A 034.00,4500  POST RD,NASHVILLE,2013-01-29,2013,149900.0,149900.0,RESIDENTIAL CONDO,,N,CLEAN,36.127967776331,-86.852051170735,47037018102,73125.0,3719.0,0.056322772813430816,0.015524625267665952,Q5 (Highest)
103 16 0C 107.00,4225  HARDING PIKE,NASHVILLE,2013-01-30,2013,117600.0,117600.0,RESIDENTIAL CONDO,,N,CLEAN,36.128009643596,-86.842937488672,47037018000,87083.0,5050.0,0.06217821782178218,0.0992710864283235,Q5 (Highest)
104 01 0 244.00,3608  NEBRASKA AVE,NASHVILLE,2013-01-11,2013,138000.0,138000.0,ZERO LOT LINE,URBAN SERVICES DISTRICT,N,CLEAN,36.142798182025,-86.827071547961,47037013400,102700.0,4353.0,0.04893177119228118,0.03992484734617191,Q5 (Highest)
104 01 0 444.00,3606  NEBRASKA AVE,NASHVILLE,2013-01-11,2013,138000.0,138000.0,ZERO LOT LINE,URBAN SERVICES DISTRICT,N,CLEAN,36.142804656138,-86.827046730525,47037013400,102700.0,4353.0,0.04893177119228118,0.03992484734617191,Q5 (Highest)
104 05 0 361.00,311  WEST END PL,NASHVILLE,2013-01-15,2013,270000.0,270000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.138917563965,-86.823406853968,47037016700,94331.0,5106.0,0.0629970699037254,0.11131656804733728,Q5 (Highest)
104 06 0 123.00,3340  ACKLEN AVE,NASHVILLE,2013-01-18,2013,394500.0,394500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.137490814658,-86.818258755923,47037016800,54724.0,4689.0,0.17679675837065473,0.0798494983277592,Q4
104 06 0A 144.00,3415  WEST END AVE,NASHVILLE,2013-01-24,2013,58000.0,58000.0,RESIDENTIAL CONDO,,N,CLEAN,36.1390900719,-86.819275666427,47037016800,54724.0,4689.0,0.17679675837065473,0.0798494983277592,Q4
104 09 0 011.00,3725  PRINCETON AVE,NASHVILLE,2013-01-15,2013,899900.0,899900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.136570221093,-86.831440385181,47037016700,94331.0,5106.0,0.0629970699037254,0.11131656804733728,Q5 (Highest)
104 11 0 240.00,2608  ESSEX PL,NASHVILLE,2013-01-25,2013,860000.0,860000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,36.132439325812,-86.809749993941,47037016800,54724.0,4689.0,0.17679675837065473,0.0798494983277592,Q4
104 11 0F 107.00,2124  FAIRFAX AVE,NASHVILLE,2013-01-18,2013,105700.0,105700.0,RESIDENTIAL CONDO,,N,CLEAN,36.134381515135,-86.802821023033,47037016800,54724.0,4689.0,0.17679675837065473,0.0798494983277592,Q4
